序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),總計,臭氧
1,臺北市,2014年02月,140,103,37,-,-,-
2,新北市,2014年02月,252,191,61,-,-,-
3,臺中市,2014年02月,140,75,65,-,-,-
4,臺南市,2014年02月,112,23,89,-,-,-
5,高雄市,2014年02月,224,42,178,4,4,4
6,基隆市,2014年02月,28,27,1,-,-,-
7,新竹市,2014年02月,28,20,8,-,-,-
8,嘉義市,2014年02月,28,6,22,-,-,-
9,宜蘭縣,2014年02月,56,55,1,-,-,-
10,桃園市,2014年02月,112,69,43,-,-,-
11,新竹縣,2014年02月,56,42,14,-,-,-
12,苗栗縣,2014年02月,56,41,15,-,-,-
13,彰化縣,2014年02月,56,24,32,-,-,-
14,南投縣,2014年02月,56,16,40,-,-,-
15,雲林縣,2014年02月,56,21,35,-,-,-
16,嘉義縣,2014年02月,56,15,41,-,-,-
17,屏東縣,2014年02月,84,32,51,1,1,1
18,臺東縣,2014年02月,28,28,-,-,-,-
19,花蓮縣,2014年02月,28,28,-,-,-,-
20,澎湖縣,2014年02月,28,20,8,-,-,-
21,金門縣,2014年02月,28,12,16,-,-,-
22,連江縣,2014年02月,28,19,9,-,-,-
