序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2014年07月,155,84,68,3,3
2,新北市,2014年07月,279,147,130,2,2
3,臺中市,2014年07月,155,85,66,4,4
4,臺南市,2014年07月,124,92,32,-,-
5,高雄市,2014年07月,248,157,91,-,-
6,基隆市,2014年07月,31,19,12,-,-
7,新竹市,2014年07月,31,22,9,-,-
8,嘉義市,2014年07月,31,17,14,-,-
9,宜蘭縣,2014年07月,62,58,4,-,-
10,桃園市,2014年07月,124,69,55,-,-
11,新竹縣,2014年07月,62,36,26,-,-
12,苗栗縣,2014年07月,62,40,22,-,-
13,彰化縣,2014年07月,62,41,20,1,1
14,南投縣,2014年07月,62,25,36,1,1
15,雲林縣,2014年07月,62,38,24,-,-
16,嘉義縣,2014年07月,62,40,22,-,-
17,屏東縣,2014年07月,93,53,38,2,2
18,臺東縣,2014年07月,31,31,-,-,-
19,花蓮縣,2014年07月,31,31,-,-,-
20,澎湖縣,2014年07月,31,26,5,-,-
21,金門縣,2014年07月,31,19,12,-,-
22,連江縣,2014年07月,31,27,4,-,-
