序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2014年12月,155,74,81,-,-,-
2,新北市,2014年12月,279,145,134,-,-,-
3,臺中市,2014年12月,155,60,95,-,-,-
4,臺南市,2014年12月,124,13,110,1,-,1
5,高雄市,2014年12月,248,9,230,9,-,9
6,基隆市,2014年12月,30,22,8,-,-,-
7,新竹市,2014年12月,31,15,16,-,-,-
8,嘉義市,2014年12月,31,3,28,-,-,-
9,宜蘭縣,2014年12月,62,35,27,-,-,-
10,桃園市,2014年12月,124,49,75,-,-,-
11,新竹縣,2014年12月,62,32,30,-,-,-
12,苗栗縣,2014年12月,62,35,27,-,-,-
13,彰化縣,2014年12月,62,16,46,-,-,-
14,南投縣,2014年12月,62,7,55,-,-,-
15,雲林縣,2014年12月,62,9,49,4,-,4
16,嘉義縣,2014年12月,62,6,53,3,-,3
17,屏東縣,2014年12月,93,30,62,1,1,-
18,臺東縣,2014年12月,31,28,3,-,-,-
19,花蓮縣,2014年12月,31,24,7,-,-,-
20,澎湖縣,2014年12月,31,13,18,-,-,-
21,金門縣,2014年12月,31,2,28,1,-,1
22,連江縣,2014年12月,31,9,22,-,-,-
