序號,統計區,統計期,總計,良好(0－50),普通(51－100)
1,臺北市,2016年01月,155,128,27
2,新北市,2016年01月,279,216,63
3,臺中市,2016年01月,155,123,32
4,臺南市,2016年01月,124,47,77
5,高雄市,2016年01月,248,69,179
6,基隆市,2016年01月,31,28,3
7,新竹市,2016年01月,31,24,7
8,嘉義市,2016年01月,31,9,22
9,宜蘭縣,2016年01月,62,60,2
10,桃園市,2016年01月,124,91,33
11,新竹縣,2016年01月,62,54,8
12,苗栗縣,2016年01月,62,46,16
13,彰化縣,2016年01月,62,42,20
14,南投縣,2016年01月,62,30,32
15,雲林縣,2016年01月,62,35,27
16,嘉義縣,2016年01月,62,23,39
17,屏東縣,2016年01月,93,56,37
18,臺東縣,2016年01月,31,31,-
19,花蓮縣,2016年01月,31,31,-
20,澎湖縣,2016年01月,31,26,5
21,金門縣,2016年01月,31,14,17
22,連江縣,2016年01月,31,18,13
