序號,統計區,統計期,總計,機關團體學校醫院,軍事機關所屬單位,商業,工業(工廠),營建工程,一般居民,其他,工廠－合法廠,工廠－非法廠,總計,機關團體學校醫院,商業,工業(工廠),營建工程,一般居民,其他,工廠－合法廠,工廠－非法廠
1,臺北市,2009年06月,"1,395",27,3,739,8,176,344,98,7,1,43,-,6,-,20,12,5,-,-
2,臺北縣,2009年06月,699,2,-,289,261,17,40,90,144,117,62,-,5,18,26,13,-,17,1
3,臺中市,2009年06月,243,3,-,26,41,53,116,4,23,18,8,-,1,1,4,2,-,1,-
4,臺中縣,2009年06月,198,5,-,24,75,12,76,6,68,7,9,-,-,3,4,2,-,2,1
5,臺南市,2009年06月,80,-,-,35,17,26,1,1,15,2,14,-,9,-,1,2,2,-,-
6,臺南縣,2009年06月,398,1,-,39,243,32,64,19,243,-,3,-,-,2,1,-,-,2,-
7,高雄市,2009年06月,441,3,-,182,182,10,62,2,182,-,19,-,2,12,4,1,-,12,-
8,高雄縣,2009年06月,411,2,-,72,206,3,72,56,193,13,35,-,-,15,15,5,-,15,-
9,桃園縣,2009年06月,759,-,-,83,393,114,100,69,393,-,64,-,3,15,42,4,-,15,-
10,基隆市,2009年06月,179,1,-,74,45,11,47,1,45,-,3,-,-,-,3,-,-,-,-
11,新竹市,2009年06月,180,-,-,36,76,25,30,13,76,-,3,-,-,-,3,-,-,-,-
12,嘉義市,2009年06月,172,1,-,64,38,5,43,21,31,7,-,-,-,-,-,-,-,-,-
13,宜蘭縣,2009年06月,197,1,1,31,61,17,55,31,60,1,7,1,1,3,-,2,-,3,-
14,新竹縣,2009年06月,208,-,-,15,67,53,14,59,67,-,6,-,-,1,3,2,-,1,-
15,苗栗縣,2009年06月,171,1,-,25,58,51,11,25,56,2,4,-,-,2,-,-,2,2,-
16,彰化縣,2009年06月,242,-,-,20,124,31,8,59,80,44,11,-,-,4,6,1,-,4,-
17,南投縣,2009年06月,34,-,-,-,11,22,-,1,10,1,9,-,-,4,4,1,-,2,2
18,雲林縣,2009年06月,164,-,-,7,56,44,3,54,48,8,2,-,-,-,-,1,1,-,-
19,嘉義縣,2009年06月,46,-,-,-,16,29,1,-,16,-,6,-,-,1,4,1,-,1,-
20,屏東縣,2009年06月,157,-,-,54,45,9,47,2,42,3,2,-,-,1,1,-,-,1,-
21,臺東縣,2009年06月,35,1,-,7,13,14,-,-,12,1,2,-,-,-,2,-,-,-,-
22,花蓮縣,2009年06月,69,-,-,15,21,14,17,2,19,2,5,-,-,2,3,-,-,1,1
23,澎湖縣,2009年06月,13,-,-,3,3,3,1,3,2,1,-,-,-,-,-,-,-,-,-
24,金門縣,2009年06月,13,-,-,3,6,3,1,-,6,-,-,-,-,-,-,-,-,-,-
25,連江縣,2009年06月,15,-,-,-,-,15,-,-,-,-,1,-,-,-,-,1,-,-,-
