序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),總計,臭氧,懸浮微粒
1,臺北市,2013年03月,155,55,100,-,-,-,-
2,新北市,2013年03月,279,92,185,2,2,2,-
3,臺中市,2013年03月,124,20,104,-,-,-,-
4,臺南市,2013年03月,124,2,122,-,-,-,-
5,高雄市,2013年03月,248,28,216,4,4,4,-
6,基隆市,2013年03月,31,21,10,-,-,-,-
7,新竹市,2013年03月,31,7,24,-,-,-,-
8,嘉義市,2013年03月,31,1,30,-,-,-,-
9,宜蘭縣,2013年03月,62,40,22,-,-,-,-
10,桃園市,2013年03月,124,42,82,-,-,-,-
11,新竹縣,2013年03月,62,29,33,-,-,-,-
12,苗栗縣,2013年03月,62,21,41,-,-,-,-
13,彰化縣,2013年03月,62,8,54,-,-,-,-
14,南投縣,2013年03月,62,6,56,-,-,-,-
15,雲林縣,2013年03月,62,6,56,-,-,-,-
16,嘉義縣,2013年03月,62,2,60,-,-,-,-
17,屏東縣,2013年03月,93,23,70,-,-,-,-
18,臺東縣,2013年03月,31,25,6,-,-,-,-
19,花蓮縣,2013年03月,31,24,7,-,-,-,-
20,澎湖縣,2013年03月,31,6,25,-,-,-,-
21,金門縣,2013年03月,31,3,24,4,4,-,4
22,連江縣,2013年03月,31,3,27,1,1,1,-
