序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2013年10月,155,88,67,-,-,-
2,新北市,2013年10月,279,164,115,-,-,-
3,臺中市,2013年10月,155,23,131,1,1,-
4,臺南市,2013年10月,124,1,113,10,3,7
5,高雄市,2013年10月,248,5,232,11,10,1
6,基隆市,2013年10月,31,21,10,-,-,-
7,新竹市,2013年10月,31,14,17,-,-,-
8,嘉義市,2013年10月,30,1,28,1,1,-
9,宜蘭縣,2013年10月,61,44,17,-,-,-
10,桃園市,2013年10月,124,64,60,-,-,-
11,新竹縣,2013年10月,62,37,25,-,-,-
12,苗栗縣,2013年10月,62,24,38,-,-,-
13,彰化縣,2013年10月,62,7,55,-,-,-
14,南投縣,2013年10月,62,2,58,2,2,-
15,雲林縣,2013年10月,62,1,57,4,-,4
16,嘉義縣,2013年10月,62,-,54,8,3,5
17,屏東縣,2013年10月,93,21,62,10,9,1
18,臺東縣,2013年10月,31,18,12,1,-,1
19,花蓮縣,2013年10月,31,25,6,-,-,-
20,澎湖縣,2013年10月,31,8,23,-,-,-
21,金門縣,2013年10月,31,2,29,-,-,-
22,連江縣,2013年10月,31,2,29,-,-,-
