序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2014年06月,148,93,55,-,-
2,新北市,2014年06月,270,194,76,-,-
3,臺中市,2014年06月,150,115,35,-,-
4,臺南市,2014年06月,120,88,32,-,-
5,高雄市,2014年06月,240,181,59,-,-
6,基隆市,2014年06月,30,23,7,-,-
7,新竹市,2014年06月,30,26,4,-,-
8,嘉義市,2014年06月,30,23,7,-,-
9,宜蘭縣,2014年06月,60,53,7,-,-
10,桃園市,2014年06月,120,85,35,-,-
11,新竹縣,2014年06月,60,52,8,-,-
12,苗栗縣,2014年06月,60,49,11,-,-
13,彰化縣,2014年06月,60,48,12,-,-
14,南投縣,2014年06月,60,38,22,-,-
15,雲林縣,2014年06月,60,44,16,-,-
16,嘉義縣,2014年06月,60,40,20,-,-
17,屏東縣,2014年06月,90,73,16,1,1
18,臺東縣,2014年06月,30,30,-,-,-
19,花蓮縣,2014年06月,30,29,1,-,-
20,澎湖縣,2014年06月,30,29,1,-,-
21,金門縣,2014年06月,30,20,10,-,-
22,連江縣,2014年06月,30,17,13,-,-
