序號,統計區,統計期,總計,良好(0－50),普通(51－100)
1,臺北市,2015年06月,150,78,72
2,新北市,2015年06月,270,147,123
3,臺中市,2015年06月,150,135,15
4,臺南市,2015年06月,120,112,8
5,高雄市,2015年06月,240,219,21
6,基隆市,2015年06月,30,12,18
7,新竹市,2015年06月,30,29,1
8,嘉義市,2015年06月,30,27,3
9,宜蘭縣,2015年06月,60,56,4
10,桃園市,2015年06月,120,105,15
11,新竹縣,2015年06月,60,51,9
12,苗栗縣,2015年06月,60,55,5
13,彰化縣,2015年06月,60,58,2
14,南投縣,2015年06月,60,49,11
15,雲林縣,2015年06月,60,54,6
16,嘉義縣,2015年06月,60,56,4
17,屏東縣,2015年06月,90,79,11
18,臺東縣,2015年06月,30,30,-
19,花蓮縣,2015年06月,30,29,1
20,澎湖縣,2015年06月,30,30,-
21,金門縣,2015年06月,30,27,3
22,連江縣,2015年06月,30,23,7
