序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),懸浮微粒
1,臺北市,2015年01月,155,80,75,-,-
2,新北市,2015年01月,279,141,138,-,-
3,臺中市,2015年01月,155,44,111,-,-
4,臺南市,2015年01月,124,4,120,-,-
5,高雄市,2015年01月,248,9,238,1,1
6,基隆市,2015年01月,31,21,10,-,-
7,新竹市,2015年01月,31,16,15,-,-
8,嘉義市,2015年01月,31,1,30,-,-
9,宜蘭縣,2015年01月,62,38,24,-,-
10,桃園市,2015年01月,124,49,75,-,-
11,新竹縣,2015年01月,62,29,33,-,-
12,苗栗縣,2015年01月,62,26,36,-,-
13,彰化縣,2015年01月,62,13,49,-,-
14,南投縣,2015年01月,62,6,56,-,-
15,雲林縣,2015年01月,62,6,56,-,-
16,嘉義縣,2015年01月,62,2,60,-,-
17,屏東縣,2015年01月,93,23,70,-,-
18,臺東縣,2015年01月,31,26,5,-,-
19,花蓮縣,2015年01月,31,23,8,-,-
20,澎湖縣,2015年01月,31,14,17,-,-
21,金門縣,2015年01月,31,4,22,5,5
22,連江縣,2015年01月,31,11,19,1,1
