序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),懸浮微粒
1,臺北市,2016年02月,145,109,36,-,-
2,新北市,2016年02月,261,183,78,-,-
3,臺中市,2016年02月,145,91,54,-,-
4,臺南市,2016年02月,116,32,84,-,-
5,高雄市,2016年02月,232,42,190,-,-
6,基隆市,2016年02月,29,22,7,-,-
7,新竹市,2016年02月,29,19,10,-,-
8,嘉義市,2016年02月,29,6,23,-,-
9,宜蘭縣,2016年02月,58,44,14,-,-
10,桃園市,2016年02月,116,83,33,-,-
11,新竹縣,2016年02月,58,38,20,-,-
12,苗栗縣,2016年02月,58,39,19,-,-
13,彰化縣,2016年02月,58,35,23,-,-
14,南投縣,2016年02月,58,19,39,-,-
15,雲林縣,2016年02月,58,23,35,-,-
16,嘉義縣,2016年02月,58,15,42,1,1
17,屏東縣,2016年02月,86,33,53,-,-
18,臺東縣,2016年02月,29,27,2,-,-
19,花蓮縣,2016年02月,29,23,6,-,-
20,澎湖縣,2016年02月,29,18,11,-,-
21,金門縣,2016年02月,29,10,17,2,2
22,連江縣,2016年02月,29,15,13,1,1
