序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2016年07月,155,63,89,3,3,-
2,新北市,2016年07月,279,133,145,1,1,-
3,臺中市,2016年07月,155,100,54,1,1,-
4,臺南市,2016年07月,124,97,27,-,-,-
5,高雄市,2016年07月,248,188,60,-,-,-
6,基隆市,2016年07月,31,15,16,-,-,-
7,新竹市,2016年07月,31,28,3,-,-,-
8,嘉義市,2016年07月,31,21,10,-,-,-
9,宜蘭縣,2016年07月,62,55,7,-,-,-
10,桃園市,2016年07月,124,80,41,3,3,-
11,新竹縣,2016年07月,62,46,16,-,-,-
12,苗栗縣,2016年07月,62,42,20,-,-,-
13,彰化縣,2016年07月,62,50,12,-,-,-
14,南投縣,2016年07月,62,34,28,-,-,-
15,雲林縣,2016年07月,62,43,19,-,-,-
16,嘉義縣,2016年07月,62,48,14,-,-,-
17,屏東縣,2016年07月,93,66,27,-,-,-
18,臺東縣,2016年07月,31,29,1,1,-,1
19,花蓮縣,2016年07月,31,31,-,-,-,-
20,澎湖縣,2016年07月,31,28,3,-,-,-
21,金門縣,2016年07月,31,22,9,-,-,-
22,連江縣,2016年07月,31,25,6,-,-,-
