序號,統計區,統計期,總計,良好(0－50),普通(51－100),臭氧,懸浮微粒
1,臺北市,2016年12月,155,138,17,-,-
2,新北市,2016年12月,279,216,63,-,-
3,臺中市,2016年12月,155,78,77,-,-
4,臺南市,2016年12月,124,9,115,-,-
5,高雄市,2016年12月,248,10,236,2,-
6,基隆市,2016年12月,31,28,3,-,-
7,新竹市,2016年12月,31,19,12,-,-
8,嘉義市,2016年12月,31,2,29,-,-
9,宜蘭縣,2016年12月,62,56,6,-,-
10,桃園市,2016年12月,124,88,36,-,-
11,新竹縣,2016年12月,62,46,16,-,-
12,苗栗縣,2016年12月,62,34,28,-,-
13,彰化縣,2016年12月,62,23,39,-,-
14,南投縣,2016年12月,62,7,54,1,-
15,雲林縣,2016年12月,62,10,51,-,1
16,嘉義縣,2016年12月,62,3,58,-,1
17,屏東縣,2016年12月,92,30,60,2,-
18,臺東縣,2016年12月,31,26,5,-,-
19,花蓮縣,2016年12月,31,28,3,-,-
20,澎湖縣,2016年12月,31,24,7,-,-
21,金門縣,2016年12月,31,3,28,-,-
22,連江縣,2016年12月,31,16,15,-,-
